pr_gene_id,pr_gene_symbol,pr_gene_title,pr_is_lm,pr_is_bing
3091,HIF1A,"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)",1,1
16,AARS,alanyl-tRNA synthetase,1,1
6184,RPN1,ribophorin I,1,1
10606,PAICS,phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase,1,1
10904,BLCAP,bladder cancer associated protein,1,1
3033,HADH,hydroxyacyl-CoA dehydrogenase,1,1
2771,GNAI2,"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2",1,1
9491,PSMF1,proteasome inhibitor subunit 1,1,1
10398,MYL9,myosin light chain 9,1,1
4313,MMP2,matrix metallopeptidase 2,1,1
6599,SMARCC1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1",1,1
9375,TM9SF2,transmembrane 9 superfamily member 2,1,1
8396,PIP4K2B,"phosphatidylinositol-5-phosphate 4-kinase, type II, beta",1,1
5829,PXN,paxillin,1,1
9276,COPB2,coatomer protein complex subunit beta 2 (beta prime),1,1
5211,PFKL,"phosphofructokinase, liver",1,1
10857,PGRMC1,progesterone receptor membrane component 1,1,1
3693,ITGB5,integrin subunit beta 5,1,1
5355,PLP2,proteolipid protein 2 (colonic epithelium-enriched),1,1
4780,NFE2L2,"nuclear factor, erythroid 2 like 2",1,1
4154,MBNL1,muscleblind like splicing regulator 1,1,1
4836,NMT1,N-myristoyltransferase 1,1,1
8553,BHLHE40,basic helix-loop-helix family member e40,1,1
54386,TERF2IP,"telomeric repeat binding factor 2, interacting protein",1,1
25793,FBXO7,F-box protein 7,1,1
5654,HTRA1,HtrA serine peptidase 1,1,1
4043,LRPAP1,LDL receptor related protein associated protein 1,1,1
8804,CREG1,cellular repressor of E1A stimulated genes 1,1,1
5111,PCNA,proliferating cell nuclear antigen,1,1
5641,LGMN,legumain,1,1
3611,ILK,integrin linked kinase,1,1
481,ATP1B1,"ATPase, Na+/K+ transporting, beta 1 polypeptide",1,1
6856,SYPL1,synaptophysin-like 1,1,1
7296,TXNRD1,thioredoxin reductase 1,1,1
23386,NUDCD3,NudC domain containing 3,1,1
7153,TOP2A,topoisomerase (DNA) II alpha,1,1
10494,STK25,serine/threonine kinase 25,1,1
10969,EBNA1BP2,EBNA1 binding protein 2,1,1
23365,ARHGEF12,Rho guanine nucleotide exchange factor 12,1,1
6342,SCP2,sterol carrier protein 2,1,1
10730,YME1L1,YME1 like 1 ATPase,1,1
79073,TMEM109,transmembrane protein 109,1,1
7165,TPD52L2,tumor protein D52-like 2,1,1
10491,CRTAP,cartilage associated protein,1,1
10131,TRAP1,TNF receptor-associated protein 1,1,1
3482,IGF2R,insulin like growth factor 2 receptor,1,1
26227,PHGDH,phosphoglycerate dehydrogenase,1,1
26020,LRP10,LDL receptor related protein 10,1,1
6659,SOX4,SRY-box 4,1,1
847,CAT,catalase,1,1
6009,RHEB,Ras homolog enriched in brain,1,1
9261,MAPKAPK2,mitogen-activated protein kinase-activated protein kinase 2,1,1
9805,SCRN1,secernin 1,1,1
3725,JUN,jun proto-oncogene,1,1
6464,SHC1,SHC (Src homology 2 domain containing) transforming protein 1,1,1
8878,SQSTM1,sequestosome 1,1,1
5547,PRCP,prolylcarboxypeptidase,1,1
7874,USP7,ubiquitin specific peptidase 7 (herpes virus-associated),1,1
4792,NFKBIA,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha",1,1
10146,G3BP1,GTPase activating protein (SH3 domain) binding protein 1,1,1
9868,TOMM70A,translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae),1,1
6117,RPA1,replication protein A1,1,1
7538,ZFP36,ZFP36 ring finger protein,1,1
1845,DUSP3,dual specificity phosphatase 3,1,1
10765,KDM5B,lysine (K)-specific demethylase 5B,1,1
4172,MCM3,minichromosome maintenance complex component 3,1,1
25932,CLIC4,chloride intracellular channel 4,1,1
22883,CLSTN1,calsyntenin 1,1,1
3398,ID2,"inhibitor of DNA binding 2, dominant negative helix-loop-helix protein",1,1
1635,DCTD,dCMP deaminase,1,1
2195,FAT1,FAT atypical cadherin 1,1,1
8243,SMC1A,structural maintenance of chromosomes 1A,1,1
11188,NISCH,nischarin,1,1
11137,PWP1,"PWP1 homolog, endonuclein",1,1
23463,ICMT,isoprenylcysteine carboxyl methyltransferase,1,1
8607,RUVBL1,RuvB like AAA ATPase 1,1,1
8720,MBTPS1,"membrane bound transcription factor peptidase, site 1",1,1
3638,INSIG1,insulin induced gene 1,1,1
10670,RRAGA,Ras-related GTP binding A,1,1
8870,IER3,immediate early response 3,1,1
9246,UBE2L6,ubiquitin conjugating enzyme E2L 6,1,1
10051,SMC4,structural maintenance of chromosomes 4,1,1
9097,USP14,ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase),1,1
1958,EGR1,early growth response 1,1,1
4860,PNP,purine nucleoside phosphorylase,1,1
1786,DNMT1,DNA (cytosine-5-)-methyltransferase 1,1,1
896,CCND3,cyclin D3,1,1
8508,NIPSNAP1,nipsnap homolog 1 (C. elegans),1,1
4605,MYBL2,v-myb avian myeloblastosis viral oncogene homolog-like 2,1,1
2037,EPB41L2,erythrocyte membrane protein band 4.1-like 2,1,1
1994,ELAVL1,ELAV like RNA binding protein 1,1,1
9703,KIAA0100,KIAA0100,1,1
7157,TP53,tumor protein p53,1,1
6118,RPA2,replication protein A2,1,1
10797,MTHFD2,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",1,1
5721,PSME2,proteasome activator subunit 2,1,1
1616,DAXX,death-domain associated protein,1,1
60528,ELAC2,elaC ribonuclease Z 2,1,1
9918,NCAPD2,non-SMC condensin I complex subunit D2,1,1
9813,EFCAB14,EF-hand calcium binding domain 14,1,1
11325,DDX42,DEAD-box helicase 42,1,1
3930,LBR,lamin B receptor,1,1
9467,SH3BP5,SH3-domain binding protein 5 (BTK-associated),1,1
9690,UBE3C,ubiquitin protein ligase E3C,1,1
949,SCARB1,scavenger receptor class B member 1,1,1
51097,SCCPDH,saccharopine dehydrogenase (putative),1,1
6603,SMARCD2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2",1,1
10276,NET1,neuroepithelial cell transforming 1,1,1
3066,HDAC2,histone deacetylase 2,1,1
3315,HSPB1,heat shock protein family B (small) member 1,1,1
3988,LIPA,"lipase A, lysosomal acid",1,1
664,BNIP3,BCL2/adenovirus E1B 19kDa interacting protein 3,1,1
994,CDC25B,cell division cycle 25B,1,1
23300,ATMIN,ATM interactor,1,1
10953,TOMM34,translocase of outer mitochondrial membrane 34,1,1
9019,MPZL1,myelin protein zero like 1,1,1
3597,IL13RA1,interleukin 13 receptor subunit alpha 1,1,1
84722,PSRC1,proline/serine-rich coiled-coil 1,1,1
7319,UBE2A,ubiquitin conjugating enzyme E2A,1,1
80347,COASY,Coenzyme A synthase,1,1
10489,LRRC41,leucine rich repeat containing 41,1,1
23077,MYCBP2,"MYC binding protein 2, E3 ubiquitin protein ligase",1,1
10180,RBM6,RNA binding motif protein 6,1,1
5236,PGM1,phosphoglucomutase 1,1,1
4651,MYO10,myosin X,1,1
6251,RSU1,Ras suppressor protein 1,1,1
1956,EGFR,epidermal growth factor receptor,1,1
9897,KIAA0196,KIAA0196,1,1
2131,EXT1,exostosin glycosyltransferase 1,1,1
23013,SPEN,spen family transcriptional repressor,1,1
5782,PTPN12,"protein tyrosine phosphatase, non-receptor type 12",1,1
11344,TWF2,twinfilin actin binding protein 2,1,1
7082,TJP1,tight junction protein 1,1,1
4232,MEST,mesoderm specific transcript,1,1
230,ALDOC,"aldolase, fructose-bisphosphate C",1,1
5927,KDM5A,lysine (K)-specific demethylase 5A,1,1
26064,RAI14,retinoic acid induced 14,1,1
329,BIRC2,baculoviral IAP repeat containing 2,1,1
1514,CTSL,cathepsin L,1,1
54623,PAF1,"PAF1 homolog, Paf1/RNA polymerase II complex component",1,1
332,BIRC5,baculoviral IAP repeat containing 5,1,1
5899,RALB,v-ral simian leukemia viral oncogene homolog B,1,1
23647,ARFIP2,ADP ribosylation factor interacting protein 2,1,1
392,ARHGAP1,Rho GTPase activating protein 1,1,1
8895,CPNE3,copine 3,1,1
25,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",1,1
66008,TRAK2,"trafficking protein, kinesin binding 2",1,1
5831,PYCR1,pyrroline-5-carboxylate reductase 1,1,1
23636,NUP62,nucleoporin 62kDa,1,1
5108,PCM1,pericentriolar material 1,1,1
642,BLMH,bleomycin hydrolase,1,1
9961,MVP,major vault protein,1,1
55746,NUP133,nucleoporin 133kDa,1,1
8985,PLOD3,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3",1,1
5525,PPP2R5A,"protein phosphatase 2 regulatory subunit B', alpha",1,1
9688,NUP93,nucleoporin 93kDa,1,1
10123,ARL4C,ADP ribosylation factor like GTPase 4C,1,1
22889,KIAA0907,KIAA0907,1,1
1398,CRK,v-crk avian sarcoma virus CT10 oncogene homolog,1,1
10523,CHERP,calcium homeostasis endoplasmic reticulum protein,1,1
5347,PLK1,polo like kinase 1,1,1
10221,TRIB1,tribbles pseudokinase 1,1,1
1019,CDK4,cyclin-dependent kinase 4,1,1
6812,STXBP1,syntaxin binding protein 1,1,1
6944,VPS72,vacuolar protein sorting 72 homolog (S. cerevisiae),1,1
3028,HSD17B10,hydroxysteroid (17-beta) dehydrogenase 10,1,1
1026,CDKN1A,"cyclin-dependent kinase inhibitor 1A (p21, Cip1)",1,1
1277,COL1A1,collagen type I alpha 1,1,1
26054,SENP6,SUMO1/sentrin specific peptidase 6,1,1
64746,ACBD3,acyl-CoA binding domain containing 3,1,1
1445,CSK,c-src tyrosine kinase,1,1
1454,CSNK1E,casein kinase 1 epsilon,1,1
1861,TOR1A,torsin family 1 member A,1,1
9697,TRAM2,translocation associated membrane protein 2,1,1
79921,TCEAL4,transcription elongation factor A (SII)-like 4,1,1
10007,GNPDA1,glucosamine-6-phosphate deaminase 1,1,1
5997,RGS2,regulator of G-protein signaling 2,1,1
55324,ABCF3,ATP binding cassette subfamily F member 3,1,1
10915,TCERG1,transcription elongation regulator 1,1,1
7398,USP1,ubiquitin specific peptidase 1,1,1
9817,KEAP1,kelch like ECH associated protein 1,1,1
7994,KAT6A,K(lysine) acetyltransferase 6A,1,1
25874,MPC2,mitochondrial pyruvate carrier 2,1,1
4609,MYC,v-myc avian myelocytomatosis viral oncogene homolog,1,1
10237,SLC35B1,solute carrier family 35 member B1,1,1
5359,PLSCR1,phospholipid scramblase 1,1,1
1666,DECR1,"2,4-dienoyl-CoA reductase 1, mitochondrial",1,1
2065,ERBB3,erb-b2 receptor tyrosine kinase 3,1,1
11098,PRSS23,"protease, serine 23",1,1
11044,PAPD7,PAP associated domain containing 7,1,1
8727,CTNNAL1,catenin alpha-like 1,1,1
8518,IKBKAP,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein",1,1
10450,PPIE,peptidylprolyl isomerase E,1,1
3300,DNAJB2,DnaJ heat shock protein family (Hsp40) member B2,1,1
6616,SNAP25,synaptosome associated protein 25kDa,1,1
9275,BCL7B,B-cell CLL/lymphoma 7B,1,1
2582,GALE,UDP-galactose-4-epimerase,1,1
3156,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,1,1
5580,PRKCD,protein kinase C delta,1,1
9217,VAPB,VAMP (vesicle-associated membrane protein)-associated protein B and C,1,1
4638,MYLK,myosin light chain kinase,1,1
6284,S100A13,S100 calcium binding protein A13,1,1
8204,NRIP1,nuclear receptor interacting protein 1,1,1
27336,HTATSF1,HIV-1 Tat specific factor 1,1,1
102,ADAM10,ADAM metallopeptidase domain 10,1,1
55837,EAPP,E2F-associated phosphoprotein,1,1
5054,SERPINE1,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1",1,1
10513,APPBP2,amyloid beta precursor protein binding protein 2,1,1
11073,TOPBP1,topoisomerase (DNA) II binding protein 1,1,1
5440,POLR2K,"polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa",1,1
3383,ICAM1,intercellular adhesion molecule 1,1,1
4893,NRAS,neuroblastoma RAS viral (v-ras) oncogene homolog,1,1
9926,LPGAT1,lysophosphatidylglycerol acyltransferase 1,1,1
5699,PSMB10,proteasome subunit beta 10,1,1
6390,SDHB,succinate dehydrogenase complex iron sulfur subunit B,1,1
5921,RASA1,RAS p21 protein activator 1,1,1
2958,GTF2A2,general transcription factor IIA 2,1,1
4864,NPC1,"Niemann-Pick disease, type C1",1,1
2961,GTF2E2,general transcription factor IIE subunit 2,1,1
8731,RNMT,RNA (guanine-7-) methyltransferase,1,1
29890,RBM15B,RNA binding motif protein 15B,1,1
9943,OXSR1,oxidative stress responsive 1,1,1
8446,DUSP11,dual specificity phosphatase 11,1,1
9133,CCNB2,cyclin B2,1,1
8349,HIST2H2BE,"histone cluster 2, H2be",1,1
5770,PTPN1,"protein tyrosine phosphatase, non-receptor type 1",1,1
26136,TES,testin LIM domain protein,1,1
2673,GFPT1,glutamine--fructose-6-phosphate transaminase 1,1,1
3978,LIG1,"ligase I, DNA, ATP-dependent",1,1
11142,PKIG,"protein kinase (cAMP-dependent, catalytic) inhibitor gamma",1,1
8974,P4HA2,prolyl 4-hydroxylase subunit alpha 2,1,1
10682,EBP,emopamil binding protein (sterol isomerase),1,1
5257,PHKB,"phosphorylase kinase, beta",1,1
8503,PIK3R3,phosphoinositide-3-kinase regulatory subunit 3,1,1
7485,WRB,tryptophan rich basic protein,1,1
2817,GPC1,glypican 1,1,1
23224,SYNE2,"spectrin repeat containing, nuclear envelope 2",1,1
836,CASP3,caspase 3,1,1
30836,DNTTIP2,"deoxynucleotidyltransferase, terminal, interacting protein 2",1,1
7750,ZMYM2,"zinc finger, MYM-type 2",1,1
5019,OXCT1,3-oxoacid CoA-transferase 1,1,1
23530,NNT,nicotinamide nucleotide transhydrogenase,1,1
7867,MAPKAPK3,mitogen-activated protein kinase-activated protein kinase 3,1,1
3628,INPP1,inositol polyphosphate-1-phosphatase,1,1
22908,SACM1L,SAC1 suppressor of actin mutations 1-like (yeast),1,1
5566,PRKACA,protein kinase cAMP-activated catalytic subunit alpha,1,1
65123,INTS3,integrator complex subunit 3,1,1
10617,STAMBP,STAM binding protein,1,1
2548,GAA,"glucosidase, alpha; acid",1,1
6894,TARBP1,TAR (HIV-1) RNA binding protein 1,1,1
291,SLC25A4,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4",1,1
2542,SLC37A4,"solute carrier family 37 (glucose-6-phosphate transporter), member 4",1,1
5106,PCK2,phosphoenolpyruvate carboxykinase 2 (mitochondrial),1,1
3251,HPRT1,hypoxanthine phosphoribosyltransferase 1,1,1
2184,FAH,fumarylacetoacetate hydrolase (fumarylacetoacetase),1,1
10775,POP4,"POP4 homolog, ribonuclease P/MRP subunit",1,1
991,CDC20,cell division cycle 20,1,1
9267,CYTH1,cytohesin 1,1,1
54541,DDIT4,DNA damage inducible transcript 4,1,1
9053,MAP7,microtubule associated protein 7,1,1
4817,NIT1,nitrilase 1,1,1
4927,NUP88,nucleoporin 88kDa,1,1
7466,WFS1,Wolfram syndrome 1 (wolframin),1,1
976,ADGRE5,adhesion G protein-coupled receptor E5,1,1
2956,MSH6,mutS homolog 6,1,1
9917,FAM20B,family with sequence similarity 20 member B,1,1
5300,PIN1,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1",1,1
2109,ETFB,electron transfer flavoprotein beta subunit,1,1
2356,FPGS,folylpolyglutamate synthase,1,1
2274,FHL2,four and a half LIM domains 2,1,1
1429,CRYZ,crystallin zeta,1,1
11065,UBE2C,ubiquitin conjugating enzyme E2C,1,1
5993,RFX5,regulatory factor X5,1,1
9915,ARNT2,aryl hydrocarbon receptor nuclear translocator 2,1,1
5836,PYGL,"phosphorylase, glycogen, liver",1,1
57804,POLD4,"polymerase (DNA-directed), delta 4, accessory subunit",1,1
10434,LYPLA1,lysophospholipase I,1,1
11319,ECD,ecdysoneless cell cycle regulator,1,1
5796,PTPRK,"protein tyrosine phosphatase, receptor type K",1,1
8914,TIMELESS,timeless circadian clock,1,1
6793,STK10,serine/threonine kinase 10,1,1
7158,TP53BP1,tumor protein p53 binding protein 1,1,1
6988,TCTA,T-cell leukemia translocation altered,1,1
8050,PDHX,pyruvate dehydrogenase complex component X,1,1
9903,KLHL21,kelch like family member 21,1,1
22796,COG2,component of oligomeric golgi complex 2,1,1
10059,DNM1L,dynamin 1-like,1,1
2185,PTK2B,protein tyrosine kinase 2 beta,1,1
9924,PAN2,PAN2 poly(A) specific ribonuclease subunit,1,1
79080,CCDC86,coiled-coil domain containing 86,1,1
7159,TP53BP2,tumor protein p53 binding protein 2,1,1
4891,SLC11A2,"solute carrier family 11 (proton-coupled divalent metal ion transporter), member 2",1,1
9517,SPTLC2,serine palmitoyltransferase long chain base subunit 2,1,1
3800,KIF5C,kinesin family member 5C,1,1
5925,RB1,retinoblastoma 1,1,1
6908,TBP,TATA-box binding protein,1,1
8520,HAT1,histone acetyltransferase 1,1,1
10298,PAK4,p21 protein (Cdc42/Rac)-activated kinase 4,1,1
7077,TIMP2,TIMP metallopeptidase inhibitor 2,1,1
23378,RRP8,"ribosomal RNA processing 8, methyltransferase, homolog (yeast)",1,1
6275,S100A4,S100 calcium binding protein A4,1,1
11041,B4GAT1,"beta-1,4-glucuronyltransferase 1",1,1
10058,ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group),1,1
5373,PMM2,phosphomannomutase 2,1,1
9650,MTFR1,mitochondrial fission regulator 1,1,1
5985,RFC5,replication factor C subunit 5,1,1
983,CDK1,cyclin-dependent kinase 1,1,1
8869,ST3GAL5,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5",1,1
5601,MAPK9,mitogen-activated protein kinase 9,1,1
7088,TLE1,transducin like enhancer of split 1,1,1
5050,PAFAH1B3,platelet activating factor acetylhydrolase 1b catalytic subunit 3,1,1
3566,IL4R,interleukin 4 receptor,1,1
10641,NPRL2,"NPR2-like, GATOR1 complex subunit",1,1
1001,CDH3,cadherin 3,1,1
10589,DRAP1,DR1 associated protein 1,1,1
1676,DFFA,"DNA fragmentation factor, 45kDa, alpha polypeptide",1,1
9695,EDEM1,"ER degradation enhancer, mannosidase alpha-like 1",1,1
9653,HS2ST1,heparan sulfate 2-O-sulfotransferase 1,1,1
9710,KIAA0355,KIAA0355,1,1
4850,CNOT4,CCR4-NOT transcription complex subunit 4,1,1
9988,DMTF1,cyclin D binding myb-like transcription factor 1,1,1
1633,DCK,deoxycytidine kinase,1,1
6990,DYNLT3,"dynein, light chain, Tctex-type 3",1,1
25805,BAMBI,BMP and activin membrane-bound inhibitor,1,1
10559,SLC35A1,"solute carrier family 35 (CMP-sialic acid transporter), member A1",1,1
8440,NCK2,NCK adaptor protein 2,1,1
9270,ITGB1BP1,integrin subunit beta 1 binding protein 1,1,1
5529,PPP2R5E,"protein phosphatase 2 regulatory subunit B', epsilon",1,1
10153,CEBPZ,CCAAT/enhancer binding protein zeta,1,1
10245,TIMM17B,translocase of inner mitochondrial membrane 17 homolog B (yeast),1,1
7358,UGDH,UDP-glucose 6-dehydrogenase,1,1
22823,MTF2,metal response element binding transcription factor 2,1,1
2146,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,1,1
26292,MYCBP,MYC binding protein,1,1
11072,DUSP14,dual specificity phosphatase 14,1,1
8835,SOCS2,suppressor of cytokine signaling 2,1,1
6195,RPS6KA1,"ribosomal protein S6 kinase, 90kDa, polypeptide 1",1,1
348,APOE,apolipoprotein E,1,1
3280,HES1,hes family bHLH transcription factor 1,1,1
8624,PSMG1,"proteasome (prosome, macropain) assembly chaperone 1",1,1
6304,SATB1,SATB homeobox 1,1,1
1643,DDB2,damage-specific DNA binding protein 2,1,1
890,CCNA2,cyclin A2,1,1
256364,EML3,echinoderm microtubule associated protein like 3,1,1
11230,PRAF2,PRA1 domain family member 2,1,1
6697,SPR,"sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)",1,1
22905,EPN2,epsin 2,1,1
9801,MRPL19,mitochondrial ribosomal protein L19,1,1
9702,CEP57,centrosomal protein 57kDa,1,1
27095,TRAPPC3,trafficking protein particle complex 3,1,1
24149,ZNF318,zinc finger protein 318,1,1
6810,STX4,syntaxin 4,1,1
9670,IPO13,importin 13,1,1
5092,PCBD1,pterin-4 alpha-carbinolamine dehydratase 1,1,1
4331,MNAT1,MNAT CDK-activating kinase assembly factor 1,1,1
178,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",1,1
4016,LOXL1,lysyl oxidase like 1,1,1
4783,NFIL3,"nuclear factor, interleukin 3 regulated",1,1
1459,CSNK2A2,casein kinase 2 alpha 2,1,1
5867,RAB4A,"RAB4A, member RAS oncogene family",1,1
5423,POLB,"polymerase (DNA directed), beta",1,1
3480,IGF1R,insulin like growth factor 1 receptor,1,1
2263,FGFR2,fibroblast growth factor receptor 2,1,1
10150,MBNL2,muscleblind like splicing regulator 2,1,1
9797,TATDN2,TatD DNase domain containing 2,1,1
10206,TRIM13,tripartite motif containing 13,1,1
3162,HMOX1,heme oxygenase 1,1,1
4925,NUCB2,nucleobindin 2,1,1
596,BCL2,B-cell CLL/lymphoma 2,1,1
5982,RFC2,replication factor C subunit 2,1,1
8324,FZD7,frizzled class receptor 7,1,1
5261,PHKG2,"phosphorylase kinase, gamma 2 (testis)",1,1
1647,GADD45A,growth arrest and DNA damage inducible alpha,1,1
3909,LAMA3,laminin subunit alpha 3,1,1
6499,SKIV2L,Ski2 like RNA helicase,1,1
701,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B,1,1
10165,SLC25A13,"solute carrier family 25 (aspartate/glutamate carrier), member 13",1,1
23635,SSBP2,single-stranded DNA binding protein 2,1,1
10270,AKAP8,A-kinase anchoring protein 8,1,1
10954,PDIA5,protein disulfide isomerase family A member 5,1,1
22841,RAB11FIP2,RAB11 family interacting protein 2 (class I),1,1
23011,RAB21,"RAB21, member RAS oncogene family",1,1
57149,LYRM1,LYR motif containing 1,1,1
5909,RAP1GAP,RAP1 GTPase activating protein,1,1
6919,TCEA2,"transcription elongation factor A (SII), 2",1,1
4794,NFKBIE,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon",1,1
6182,MRPL12,mitochondrial ribosomal protein L12,1,1
22926,ATF6,activating transcription factor 6,1,1
1052,CEBPD,CCAAT/enhancer binding protein delta,1,1
10681,GNB5,"guanine nucleotide binding protein (G protein), beta 5",1,1
1846,DUSP4,dual specificity phosphatase 4,1,1
1050,CEBPA,CCAAT/enhancer binding protein alpha,1,1
10810,WASF3,WAS protein family member 3,1,1
5613,PRKX,"protein kinase, X-linked",1,1
8884,SLC5A6,"solute carrier family 5 (sodium/multivitamin and iodide cotransporter), member 6",1,1
4216,MAP3K4,mitogen-activated protein kinase kinase kinase 4,1,1
6790,AURKA,aurora kinase A,1,1
902,CCNH,cyclin H,1,1
7016,TESK1,testis-specific kinase 1,1,1
8318,CDC45,cell division cycle 45,1,1
2309,FOXO3,forkhead box O3,1,1
55556,ENOSF1,enolase superfamily member 1,1,1
3454,IFNAR1,interferon alpha and beta receptor subunit 1,1,1
1017,CDK2,cyclin-dependent kinase 2,1,1
79071,ELOVL6,ELOVL fatty acid elongase 6,1,1
5366,PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1,1,1
5289,PIK3C3,phosphatidylinositol 3-kinase catalytic subunit type 3,1,1
1385,CREB1,cAMP responsive element binding protein 1,1,1
5290,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",1,1
2946,GSTM2,glutathione S-transferase mu 2 (muscle),1,1
8061,FOSL1,FOS like antigen 1,1,1
8321,FZD1,frizzled class receptor 1,1,1
23659,PLA2G15,phospholipase A2 group XV,1,1
6622,SNCA,synuclein alpha,1,1
4312,MMP1,matrix metallopeptidase 1,1,1
5287,PIK3C2B,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta,1,1
960,CD44,CD44 molecule (Indian blood group),1,1
1802,DPH2,DPH2 homolog,1,1
5480,PPIC,peptidylprolyl isomerase C,1,1
672,BRCA1,breast cancer 1,1,1
10610,ST6GALNAC2,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",1,1
9641,IKBKE,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon",1,1
2264,FGFR4,fibroblast growth factor receptor 4,1,1
9016,SLC25A14,"solute carrier family 25 (mitochondrial carrier, brain), member 14",1,1
10668,CGRRF1,cell growth regulator with ring finger domain 1,1,1
11007,CCDC85B,coiled-coil domain containing 85B,1,1
65057,ACD,adrenocortical dysplasia homolog (mouse),1,1
7020,TFAP2A,transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha),1,1
6461,SHB,Src homology 2 domain containing adaptor protein B,1,1
9738,CCP110,centriolar coiled-coil protein 110kDa,1,1
